site,wafer,time_dep,geh4,b2h6,XCoord,YCoord,GAMMA,THICK_SIGE,CONC_BORE,DOSE_BORE,sigeb_th,sigeb_conc,dose,SiGe25p free carriers gamma,SiGe25p free carriers doping,model_quality
13,12,350,690,175,-118.4,-0.001,1247.0762,115.9334,124.7076,14.4578,115.9334,124.7076,14.4578,1247.0762,348.2094,0.0087
14,12,350,690,175,-103.601,74.001,1223.8086,114.607,122.3809,14.0257,114.607,122.3809,14.0257,1223.8086,351.5815,0.0069
15,12,350,690,175,-44.401,118.4,1211.6361,103.4511,121.1636,12.5345,103.4511,121.1636,12.5345,1211.6361,392.5425,0.0075
16,12,350,690,175,44.4,118.4,1203.1277,103.4183,120.3128,12.4425,103.4183,120.3128,12.4425,1203.1277,388.8979,0.0066
17,12,350,690,175,103.603,74,1275.9834,124.0386,127.5983,15.8271,124.0386,127.5983,15.8271,1275.9834,328.2786,0.008
1,13,425,820,175,0,-0.001,1026.9851,187.2942,102.6985,19.2348,187.2942,102.6985,19.2348,1026.9851,328.9004,0.0048
2,13,425,820,175,74.001,-14.8,995.9362,178.6365,99.5936,17.7911,178.6365,99.5936,17.7911,995.9362,334.2852,0.0034
3,13,425,820,175,29.599,-74.002,1009.9288,176.3346,100.9929,17.8085,176.3346,100.9929,17.8085,1009.9288,340.7504,0.004
4,13,425,820,175,-44.402,-59.198,1010.898,172.2551,101.0898,17.4132,172.2551,101.0898,17.4132,1010.898,348.0244,0.0037
5,13,425,820,175,-74.002,14.801,1025.9451,170.7877,102.5945,17.5219,170.7877,102.5945,17.5219,1025.9451,357.3063,0.0046
6,13,425,820,175,-29.599,74,1017.6483,177.3801,101.7648,18.0511,177.3801,101.7648,18.0511,1017.6483,343.2542,0.0046
7,13,425,820,175,44.401,59.2,1027.6479,184.5124,102.7648,18.9614,184.5124,102.7648,18.9614,1027.6479,331.1529,0.0049
8,13,425,820,175,118.4,-0.001,1033.7094,187.612,103.3709,19.3936,187.612,103.3709,19.3936,1033.7094,316.7488,0.0056
9,13,425,820,175,103.599,-74.002,1023.3242,189.8949,102.3324,19.4324,189.8949,102.3324,19.4324,1023.3242,309.2833,0.0053
10,13,425,820,175,44.398,-118.4,1006.0446,167.8854,100.6045,16.89,167.8854,100.6045,16.89,1006.0446,346.5529,0.004
11,13,425,820,175,-44.401,-118.399,983.3046,170.634,98.3305,16.7785,170.634,98.3305,16.7785,983.3046,337.0011,0.0036
12,13,425,820,175,-103.601,-74.001,1004.5849,164.7505,100.4585,16.5506,164.7505,100.4585,16.5506,1004.5849,353.922,0.0044
13,13,425,820,175,-118.4,0,1001.4636,175.1772,100.1464,17.5434,175.1772,100.1464,17.5434,1001.4636,333.5986,0.0037
14,13,425,820,175,-103.601,74,995.1066,173.1695,99.5107,17.2322,173.1695,99.5107,17.2322,995.1066,338.2366,0.0042
15,13,425,820,175,-44.4,118.4,1011.2062,169.9928,101.1206,17.1898,169.9928,101.1206,17.1898,1011.2062,345.9093,0.0038
16,13,425,820,175,44.4,118.4,1012.6649,167.8883,101.2665,17.0015,167.8883,101.2665,17.0015,1012.6649,349.3786,0.0036
17,13,425,820,175,103.602,74,1006.1393,163.6858,100.6139,16.4691,163.6858,100.6139,16.4691,1006.1393,358.2688,0.0042
1,14,500,690,175,0,-0.001,1200.2115,181.4321,120.0212,21.7757,181.4321,120.0212,21.7757,1200.2115,335.1192,0.0046
2,14,500,690,175,74.001,-14.8,1175.4667,185.3515,117.5467,21.7875,185.3515,117.5467,21.7875,1175.4667,319.2879,0.0046
3,14,500,690,175,29.6,-74.001,1187.8223,178.9529,118.7822,21.2564,178.9529,118.7822,21.2564,1187.8223,330.7546,0.0051
4,14,500,690,175,-44.4,-59.199,1163.1127,166.805,116.3113,19.4013,166.805,116.3113,19.4013,1163.1127,351.8608,0.0039
5,14,500,690,175,-74.002,14.801,1185.476,161.8775,118.5476,19.1902,161.8775,118.5476,19.1902,1185.476,370.9543,0.0048
6,14,500,690,175,-29.599,74.001,1157.6405,166.9275,115.764,19.3242,166.9275,115.764,19.3242,1157.6405,356.915,0.0038
7,14,500,690,175,44.401,59.2,1195.1595,174.6315,119.516,20.8713,174.6315,119.516,20.8713,1195.1595,346.3336,0.0049
8,14,500,690,175,118.4,0,1178.6151,158.5145,117.8615,18.6828,158.5145,117.8615,18.6828,1178.6151,367.7084,0.0047
9,14,500,690,175,103.599,-74.001,1151.3474,158.624,115.1348,18.2631,158.624,115.1348,18.2631,1151.3474,359.2731,0.0041
10,14,500,690,175,44.399,-118.4,1181.156,178.9433,118.1156,21.136,178.9433,118.1156,21.136,1181.156,321.738,0.0056
11,14,500,690,175,-44.401,-118.399,1173.3024,184.8949,117.3302,21.6938,184.8949,117.3302,21.6938,1173.3024,307.3172,0.0053
12,14,500,690,175,-103.599,-74,1189.1587,175.8474,118.9159,20.911,175.8474,118.9159,20.911,1189.1587,327.4549,0.0057
13,14,500,690,175,-118.402,0,1167.9316,165.323,116.7932,19.3086,165.323,116.7932,19.3086,1167.9316,350.5558,0.0041
14,14,500,690,175,-103.598,74,1157.9685,170.4319,115.7969,19.7355,170.4319,115.7969,19.7355,1157.9685,340.5424,0.0044
15,14,500,690,175,-44.4,118.4,1181.1707,171.7384,118.1171,20.2852,171.7384,118.1171,20.2852,1181.1707,341.8434,0.0048
16,14,500,690,175,44.4,118.4,1154.916,158.8994,115.4916,18.3515,158.8994,115.4916,18.3515,1154.916,364.8066,0.0045
17,14,500,690,175,103.601,74,1185.6005,165.8131,118.56,19.6588,165.8131,118.56,19.6588,1185.6005,352.3506,0.0048
1,15,425,690,150,0,-0.001,1180.0281,118.5564,118.0028,13.99,118.5564,118.0028,13.99,1180.0281,344.8683,0.0071
2,15,425,690,150,74,-14.801,1213.5027,179.9232,121.3503,21.8337,179.9232,121.3503,21.8337,1213.5027,222.1038,0.0106
3,15,425,690,150,29.601,-74.001,1204.845,128.9742,120.4845,15.5394,128.9742,120.4845,15.5394,1204.845,310.7895,0.0095
4,15,425,690,150,-44.402,-59.199,1205.4177,120.5808,120.5418,14.535,120.5808,120.5418,14.535,1205.4177,332.9639,0.0089
5,15,425,690,150,-74.001,14.801,1223.9078,114.6912,122.3908,14.0371,114.6912,122.3908,14.0371,1223.9078,358.4737,0.0101
6,15,425,690,150,-29.599,74,1209.4362,134.9985,120.9436,16.3272,134.9985,120.9436,16.3272,1209.4362,303.9903,0.0107
7,15,425,690,150,44.4,59.201,1228.4595,129.7705,122.846,15.9418,129.7705,122.846,15.9418,1228.4595,318.1927,0.0105
8,15,425,690,150,118.4,-0.001,1208.3083,106.9388,120.8308,12.9215,106.9388,120.8308,12.9215,1208.3083,368.3277,0.0098
9,15,425,690,150,103.599,-74.001,1162.2089,105.6266,116.2209,12.276,105.6266,116.2209,12.276,1162.2089,361.7582,0.0087
10,15,425,690,150,44.399,-118.401,1244.9277,140.2387,124.4928,17.4587,140.2387,124.4928,17.4587,1244.9277,276.8294,0.0116
11,15,425,690,150,-44.402,-118.4,1153.3521,108.5453,115.3352,12.5191,108.5453,115.3352,12.5191,1153.3521,350.1047,0.0084
12,15,425,690,150,-103.601,-74.001,1246.7141,130.2036,124.6714,16.2327,130.2036,124.6714,16.2327,1246.7141,305.1168,0.0119
13,15,425,690,150,-118.402,0,1196.9844,108.6696,119.6984,13.0076,108.6696,119.6984,13.0076,1196.9844,367.3816,0.0102
14,15,425,690,150,-103.601,73.998,1210.6956,128.4285,121.0696,15.5488,128.4285,121.0696,15.5488,1210.6956,310.8858,0.0112
15,15,425,690,150,-44.399,118.401,1171.0328,98.4096,117.1033,11.5241,98.4096,117.1033,11.5241,1171.0328,404.1108,0.0087
16,15,425,690,150,44.4,118.4,1169.9117,100.7126,116.9912,11.7825,100.7126,116.9912,11.7825,1169.9117,392.2843,0.0088
17,15,425,690,150,103.603,73.999,1199.7618,108.1952,119.9762,12.9808,108.1952,119.9762,12.9808,1199.7618,364.4402,0.0107
1,16,350,820,150,0,0,1029.9489,157.9004,102.9949,16.2629,157.9004,102.9949,16.2629,1029.9489,270.9289,0.0109
2,16,350,820,150,74,-14.801,989.5313,130.8999,98.9531,12.953,130.8999,98.9531,12.953,989.5313,316.7947,0.0069
3,16,350,820,150,29.602,-74,968.9048,121.7231,96.8905,11.7938,121.7231,96.8905,11.7938,968.9048,337.616,0.0069
4,16,350,820,150,-44.401,-59.199,1008.6535,134.1505,100.8653,13.5311,134.1505,100.8653,13.5311,1008.6535,309.924,0.0098
5,16,350,820,150,-74.001,14.802,991.4529,109.1183,99.1453,10.8186,109.1183,99.1453,10.8186,991.4529,383.7622,0.0073
6,16,350,820,150,-29.599,74,997.0968,123.7614,99.7097,12.3402,123.7614,99.7097,12.3402,997.0968,339.8541,0.0086
7,16,350,820,150,44.401,59.198,991.1741,111.3156,99.1174,11.0333,111.3156,99.1174,11.0333,991.1741,379.4342,0.0077
8,16,350,820,150,118.4,-0.001,1002.0113,108.9231,100.2011,10.9142,108.9231,100.2011,10.9142,1002.0113,374.8463,0.0083
9,16,350,820,150,103.599,-74.001,1000.4697,123.3659,100.047,12.3424,123.3659,100.047,12.3424,1000.4697,325.5202,0.0092
10,16,350,820,150,44.398,-118.4,1013.8029,121.1421,101.3803,12.2814,121.1421,101.3803,12.2814,1013.8029,330.2841,0.0094
11,16,350,820,150,-44.401,-118.4,987.4907,115.4388,98.7491,11.3995,115.4388,98.7491,11.3995,987.4907,342.9402,0.0075
12,16,350,820,150,-103.601,-73.999,1020.0015,129.1119,102.0001,13.1694,129.1119,102.0001,13.1694,1020.0015,313.6122,0.0122
13,16,350,820,150,-118.402,0,1012.4409,122.6144,101.2441,12.414,122.6144,101.2441,12.414,1012.4409,333.1339,0.0102
14,16,350,820,150,-103.598,74,1014.5298,124.9659,101.453,12.6782,124.9659,101.453,12.6782,1014.5298,323.0759,0.0089
15,16,350,820,150,-44.4,118.401,997.7552,112.2317,99.7755,11.198,112.2317,99.7755,11.198,997.7552,362.5231,0.0088
16,16,350,820,150,44.401,118.4,977.0716,97.4107,97.7072,9.5177,97.4107,97.7072,9.5177,977.0716,414.4219,0.0079
17,16,350,820,150,103.601,74,995.0288,102.6314,99.5029,10.2121,102.6314,99.5029,10.2121,995.0288,392.5791,0.0078
1,17,350,820,150,0,-0.001,967.4733,216.1438,96.7473,20.9113,216.1438,96.7473,20.9113,967.4733,204.7814,0.0042
2,17,350,820,150,74.001,-14.8,926.9498,216.5282,92.695,20.0711,216.5282,92.695,20.0711,926.9498,199.3709,0.0037
3,17,350,820,150,29.601,-74.001,943.6208,215.1827,94.3621,20.3051,215.1827,94.3621,20.3051,943.6208,201.5136,0.004
4,17,350,820,150,-44.401,-59.198,959.7181,214.6907,95.9718,20.6043,214.6907,95.9718,20.6043,959.7181,202.6169,0.0048
5,17,350,820,150,-74,14.801,995.183,232.9227,99.5183,23.1801,232.9227,99.5183,23.1801,995.183,190.24,0.0055
6,17,350,820,150,-29.599,74,937.8175,208.7773,93.7818,19.5795,208.7773,93.7818,19.5795,937.8175,209.9875,0.0034
7,17,350,820,150,44.4,59.199,977.2335,231.4196,97.7234,22.6151,231.4196,97.7234,22.6151,977.2335,191.7707,0.0055
8,17,350,820,150,118.4,-0.001,973.6445,209.9531,97.3645,20.442,209.9531,97.3645,20.442,973.6445,207.1429,0.0044
9,17,350,820,150,103.601,-74.001,962.7674,211.3637,96.2767,20.3494,211.3637,96.2767,20.3494,962.7674,202.8725,0.0042
10,17,350,820,150,44.399,-118.401,971.0012,216.5083,97.1001,21.023,216.5083,97.1001,21.023,971.0012,198.3957,0.0054
11,17,350,820,150,-44.402,-118.4,942.0002,204.0039,94.2,19.2172,204.0039,94.2,19.2172,942.0002,207.056,0.0037
12,17,350,820,150,-103.6,-74,973.6995,200.8508,97.3699,19.5568,200.8508,97.3699,19.5568,973.6995,215.2973,0.0054
13,17,350,820,150,-118.4,0,961.8871,201.8273,96.1887,19.4135,201.8273,96.1887,19.4135,961.8871,216.2349,0.0049
14,17,350,820,150,-103.601,74.001,977.9094,222.0011,97.7909,21.7097,222.0011,97.7909,21.7097,977.9094,197.6788,0.0051
15,17,350,820,150,-44.4,118.4,963.5474,223.0385,96.3547,21.4908,223.0385,96.3547,21.4908,963.5474,198.4774,0.0056
16,17,350,820,150,44.4,118.4,958.5841,212.906,95.8584,20.4088,212.906,95.8584,20.4088,958.5841,205.7514,0.005
17,17,350,820,150,103.602,73.999,969.0357,214.0431,96.9036,20.7415,214.0431,96.9036,20.7415,969.0357,203.7684,0.0053
1,18,350,820,150,0,0,1016.0071,133.132,101.6007,13.5263,133.132,101.6007,13.5263,1016.0071,321.2368,0.007
2,18,350,820,150,74,-14.801,987.7178,136.1069,98.7718,13.4435,136.1069,98.7718,13.4435,987.7178,305.331,0.0056
3,18,350,820,150,29.599,-74.001,1019.0529,141.7201,101.9053,14.442,141.7201,101.9053,14.442,1019.0529,295.4286,0.0074
4,18,350,820,150,-44.401,-59.199,1021.54,143.0793,102.154,14.6161,143.0793,102.154,14.6161,1021.54,293.4315,0.0077
5,18,350,820,150,-74.002,14.801,1029.3126,140.8482,102.9313,14.4977,140.8482,102.9313,14.4977,1029.3126,303.9875,0.0093
6,18,350,820,150,-29.599,74,1007.5427,129.7302,100.7543,13.0709,129.7302,100.7543,13.0709,1007.5427,327.5743,0.0072
7,18,350,820,150,44.4,59.2,1053.8663,156.7547,105.3866,16.5199,156.7547,105.3866,16.5199,1053.8663,273.9025,0.0087
8,18,350,820,150,118.401,-0.001,1045.0486,147.8745,104.5049,15.4536,147.8745,104.5049,15.4536,1045.0486,283.0747,0.0092
9,18,350,820,150,103.599,-74.001,1028.8269,149.3593,102.8827,15.3665,149.3593,102.8827,15.3665,1028.8269,273.9069,0.0088
10,18,350,820,150,44.398,-118.401,1046.8239,143.8671,104.6824,15.0604,143.8671,104.6824,15.0604,1046.8239,284.7881,0.0096
11,18,350,820,150,-44.402,-118.4,1019.8665,141.967,101.9866,14.4787,141.967,101.9866,14.4787,1019.8665,286.7693,0.0082
12,18,350,820,150,-103.601,-74,1022.0805,117.0597,102.2081,11.9644,117.0597,102.2081,11.9644,1022.0805,352.8903,0.0077
13,18,350,820,150,-118.4,0,1019.1177,126.9935,101.9118,12.9421,126.9935,101.9118,12.9421,1019.1177,328.637,0.0088
14,18,350,820,150,-103.599,74.001,993.0048,115.8635,99.3005,11.5053,115.8635,99.3005,11.5053,993.0048,355.9823,0.0059
15,18,350,820,150,-44.4,118.4,1007.6011,114.3499,100.7601,11.5219,114.3499,100.7601,11.5219,1007.6011,366.751,0.0076
16,18,350,820,150,44.4,118.4,1015.3873,129.8054,101.5387,13.1803,129.8054,101.5387,13.1803,1015.3873,321.9023,0.0084
17,18,350,820,150,103.601,74,1015.5718,115.81,101.5572,11.7613,115.81,101.5572,11.7613,1015.5718,357.6244,0.007
